run,seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],numTurtles,meanFood,totKnowledge,knowledgeTranferred
286,6,0.2,100,5,0.1,75,0.25,0.1,0.5,35,0,0,0,0
287,7,0.2,100,5,0.1,75,0.25,0.1,0.5,55,0,0,0,0
288,8,0.2,100,5,0.1,75,0.25,0.1,0.5,32,0,0,0,0
289,9,0.2,100,5,0.1,75,0.25,0.1,0.5,38,0,0,0,0
290,10,0.2,100,5,0.1,75,0.25,0.1,0.5,39,0,0,0,0
291,1,0.5,100,5,0.1,75,0.25,0.1,0.5,65,0,0,0,0
292,2,0.5,100,5,0.1,75,0.25,0.1,0.5,32,0,0,0,0
293,3,0.5,100,5,0.1,75,0.25,0.1,0.5,49,0,0,0,0
294,4,0.5,100,5,0.1,75,0.25,0.1,0.5,30,0,0,0,0
295,5,0.5,100,5,0.1,75,0.25,0.1,0.5,24,0,0,0,0
296,6,0.5,100,5,0.1,75,0.25,0.1,0.5,34,0,0,0,0
297,7,0.5,100,5,0.1,75,0.25,0.1,0.5,37,0,0,0,0
298,8,0.5,100,5,0.1,75,0.25,0.1,0.5,93,0,0,0,0
299,9,0.5,100,5,0.1,75,0.25,0.1,0.5,29,0,0,0,0
300,10,0.5,100,5,0.1,75,0.25,0.1,0.5,70,0,0,0,0
301,1,0.1,100,5,0.25,75,0.25,0.1,0.5,38,0,0,0,0
302,2,0.1,100,5,0.25,75,0.25,0.1,0.5,55,0,0,0,0
303,3,0.1,100,5,0.25,75,0.25,0.1,0.5,52,0,0,0,0
304,4,0.1,100,5,0.25,75,0.25,0.1,0.5,30,0,0,0,0
305,5,0.1,100,5,0.25,75,0.25,0.1,0.5,41,0,0,0,0
306,6,0.1,100,5,0.25,75,0.25,0.1,0.5,47,0,0,0,0
307,7,0.1,100,5,0.25,75,0.25,0.1,0.5,46,0,0,0,0
308,8,0.1,100,5,0.25,75,0.25,0.1,0.5,35,0,0,0,0
309,9,0.1,100,5,0.25,75,0.25,0.1,0.5,56,0,0,0,0
310,10,0.1,100,5,0.25,75,0.25,0.1,0.5,40,0,0,0,0
311,1,0.2,100,5,0.25,75,0.25,0.1,0.5,36,0,0,0,0
312,2,0.2,100,5,0.25,75,0.25,0.1,0.5,77,0,0,0,0
313,3,0.2,100,5,0.25,75,0.25,0.1,0.5,58,0,0,0,0
314,4,0.2,100,5,0.25,75,0.25,0.1,0.5,43,0,0,0,0
315,5,0.2,100,5,0.25,75,0.25,0.1,0.5,90,0,0,0,0
316,6,0.2,100,5,0.25,75,0.25,0.1,0.5,35,0,0,0,0
317,7,0.2,100,5,0.25,75,0.25,0.1,0.5,107,0,0,0,0
318,8,0.2,100,5,0.25,75,0.25,0.1,0.5,26,0,0,0,0
319,9,0.2,100,5,0.25,75,0.25,0.1,0.5,33,0,0,0,0
320,10,0.2,100,5,0.25,75,0.25,0.1,0.5,83,0,0,0,0
321,1,0.5,100,5,0.25,75,0.25,0.1,0.5,42,0,0,0,0
322,2,0.5,100,5,0.25,75,0.25,0.1,0.5,75,0,0,0,0
