[run number],seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],variable,value
133,,,,,,,,,,63,totKnowledge,0
134,4,0.5,100,5,0.25,75,0.25,0,0.5,66,numTurtles,0
134,,,,,,,,,,66,meanFood,0
134,,,,,,,,,,66,totKnowledge,0
135,5,0.5,100,5,0.25,75,0.25,0,0.5,92,numTurtles,0
135,,,,,,,,,,92,meanFood,0
135,,,,,,,,,,92,totKnowledge,0
136,6,0.5,100,5,0.25,75,0.25,0,0.5,47,numTurtles,0
136,,,,,,,,,,47,meanFood,0
136,,,,,,,,,,47,totKnowledge,0
137,7,0.5,100,5,0.25,75,0.25,0,0.5,34,numTurtles,0
137,,,,,,,,,,34,meanFood,0
137,,,,,,,,,,34,totKnowledge,0
138,8,0.5,100,5,0.25,75,0.25,0,0.5,30,numTurtles,0
138,,,,,,,,,,30,meanFood,0
138,,,,,,,,,,30,totKnowledge,0
139,9,0.5,100,5,0.25,75,0.25,0,0.5,45,numTurtles,0
139,,,,,,,,,,45,meanFood,0
139,,,,,,,,,,45,totKnowledge,0
140,10,0.5,100,5,0.25,75,0.25,0,0.5,56,numTurtles,0
140,,,,,,,,,,56,meanFood,0
140,,,,,,,,,,56,totKnowledge,0
141,1,1,100,5,0.25,75,0.25,0,0.5,38,numTurtles,0
141,,,,,,,,,,38,meanFood,0
141,,,,,,,,,,38,totKnowledge,0
142,2,1,100,5,0.25,75,0.25,0,0.5,147,numTurtles,0
142,,,,,,,,,,147,meanFood,0
142,,,,,,,,,,147,totKnowledge,0
143,3,1,100,5,0.25,75,0.25,0,0.5,63,numTurtles,0
143,,,,,,,,,,63,meanFood,0
143,,,,,,,,,,63,totKnowledge,0
144,4,1,100,5,0.25,75,0.25,0,0.5,66,numTurtles,0
144,,,,,,,,,,66,meanFood,0
144,,,,,,,,,,66,totKnowledge,0
145,5,1,100,5,0.25,75,0.25,0,0.5,92,numTurtles,0
145,,,,,,,,,,92,meanFood,0
145,,,,,,,,,,92,totKnowledge,0
